,siren,year,type,title,n_patents
0,539966929,,,,
1,510562564,,,,
2,501396071,,,,
3,501677330,2011.0,,"Sludge filter for removing sludge in closed water circuit in e.g. heating circuit, has discharge conduit connected to fluid inlet line such that magnetic and non-magnetic sludge collected in tank are driven into discharge conduit by water",1.0
4,501704969,,,,
5,511452765,,,,
6,511961971,,,,
7,512326232,,,,
8,502880693,,,,
9,512533696,,,,
10,512817818,,,,
11,503334807,2011.0,,"Digital archiving system for secure and automatic distribution of documents to archiving device, has broker device including robots to scan contents of dedicated computers, and retrieve information about contents",2.0
12,503849473,,,,
13,514227255,2011.0,,METHOD FOR DETECTING AND QUANTIFYING A TARGET MOLECULE IN A TISSUE,10.0
14,514227255,2013.0,,METHOD TO EVALUATE THE TISSUE TARGETING OF A MOLECULE OF INTEREST,7.0
15,514227255,2019.0,,METHOD FOR EVALUATING MOLECULAR CHANGES RELATED TO A MOLECULE EFFECT IN A BIOLOGICAL SAMPLE,1.0
16,514227255,2014.0,journal-article,,
17,514227255,2017.0,journal-article,,
18,514227255,2018.0,journal-article,,
19,514227255,2017.0,journal-article,,
20,514227255,2016.0,journal-article,,
21,514227255,2016.0,journal-article,,
22,514227255,2016.0,journal-article,,
23,514227255,2016.0,journal-article,,
24,514227255,2016.0,proceedings-article,,
25,514227255,2017.0,proceedings-article,,
26,514227255,2015.0,journal-article,,
27,514227255,2013.0,journal-article,,
28,514227255,2013.0,proceedings-article,,
29,514227255,2015.0,journal-article,,
30,514227255,2015.0,journal-article,,
31,514227255,2018.0,journal-article,,
32,514227255,2011.0,,METHOD FOR DETECTING AND QUANTIFYING A TARGET MOLECULE IN A SAMPLE,13.0
33,514227255,2013.0,,Photo or chemolabile conjugates for molecules detection,6.0
34,514227255,2014.0,,METHOD FOR PROCESSING MOLECULAR IMAGING DATA AND CORRESPONDING DATA SERVER,7.0
35,514227255,2014.0,,METHOD FOR CHARACTERISING A SAMPLE BY MASS SPECTROMETRY IMAGING,9.0
36,504301433,2010.0,,"Tool for cutting branch of e.g. tree, has telescopic handle placed in housing of ergonomic handle, and assembly formed of chain saw type cutter chain, electric motor and pinions, where assembly is associated with ergonomic handle",1.0
37,485386171,,,,
38,504360843,,,,
39,487891798,2012.0,,HIP/PAP protein and derivatives thereof for use in treating cancer,4.0
40,487891798,2013.0,,COMPOSITION INCLUDING THE HIP/PAP PROTEIN OR ONE OF THE DERIVATIVES THEREOF FOR TREATING INSULIN RESISTANCE,10.0
41,488094178,,,,
42,530649326,2013.0,proceedings-article,,
43,530649326,2015.0,proceedings-article,,
44,530649326,2013.0,proceedings-article,,
45,530649326,2013.0,proceedings-article,,
46,530649326,2013.0,proceedings-article,,
47,530649326,2014.0,proceedings-article,,
48,488810862,2010.0,,MAGNETOCALORIC DEVICE.,2.0
49,488810862,2011.0,,"Electric motor i.e. brushless synchronous motor for e.g. operation of aerators, in car, has Hall effect sensor measuring magnetic flux of rotor magnets, where sensor is electrically connected to electrical connection plate of stator coils",1.0
50,488810862,2011.0,,"Method for manufacturing permanent magnet of e.g. stator, in brushless electric motor, involves subjecting ferromagnetic particles powder to magnetic orientation during compression of ferromagnetic particles powder",1.0
51,488810862,2011.0,,Electric motor rotor,2.0
52,488810862,2012.0,,"Brushless electric motor for managing and actuating aerators in car, has space inter-magnet defined by angle formed between adjacent side faces of magnets, where angle from space inter-magnet is calculated for measuring thickness of air gap",1.0
53,488810862,2012.0,,"Electric motor i.e. brushless synchronous motor, has Hall effect sensor for measuring magnetic flux resulting from magnets of rotor, where sensor is arranged opposite to rotor in axial direction and spaced from rotor in axial direction",1.0
54,488810862,2012.0,,Electric motor with a connecting plate comprising hooks,2.0
55,530837020,,,,
56,531028819,2012.0,,"System for analysis of power consumption of three-phase network in e.g. residential site, has processing unit for processing information from voltage sensors and current sensors, and pairing unit for pairing voltage and current sensors",1.0
57,531028819,2013.0,,METHOD AND SYSTEM FOR ANALYSING ELECTRICITY CONSUMPTION,5.0
58,531028819,2012.0,,"Method for analyzing electric consumption of set of equipment on same electrical supply network, involves calculating power consumption curve from variation of parameter of instantaneous power consumption signals assigned to each equipment",1.0
59,531028819,2017.0,,CONNECTEUR ELECTRIQUE MULTI-CONTACTS,1.0
60,531028819,2013.0,,METHOD AND SYSTEM FOR ANALYZING ELECTRICITY CONSUMPTION,1.0
61,531028819,2011.0,,METHOD FOR ANALYZING THE ELECTRICITY CONSUMPTION OF A SITE PROVIDED WITH A PLURALITY OF ELECTRICAL DEVICES,9.0
62,531028819,2013.0,,CONTACTLESS DEVICE FOR CHARACTERISING AN ELECTRIC SIGNAL,5.0
63,489268045,,,,
64,531423507,,,,
65,489941435,,,,
66,531530418,2014.0,,METHOD FOR PREDICTING THE DEVELOPMENT OF COLORECTAL CANCER,1.0
67,531530418,2016.0,,COMBINATION OF MIRNAS ALLOWING THE PREDICTION OF THE CLINICAL EVOLUTION OF RECTAL CANCER,2.0
68,531530418,2012.0,,"METHODS FOR DETERMINING THE TROPISM AND RECEPTOR USAGE OF A VIRUS, IN PARTICULAR HIV, IN BODY SAMPLES TAKEN FROM THE CIRCULATION",5.0
69,531530418,2013.0,,"Methods for detecting an infectious agent, in particular HIV1, using long noncoding RNA",3.0
70,490400207,,,,
71,490562501,,,,
72,531860823,2013.0,,Cold atom gravity gradiometer,4.0
