,siren,year,type,title,n_patents
0,477890677,2012.0,,Mitral valve replacement system,2.0
1,477904460,,,,
2,478022304,,,,
3,478101926,,,,
4,478147523,2014.0,journal-article,,
5,478147523,2015.0,journal-article,,
6,478147523,2015.0,journal-article,,
7,478147523,2014.0,journal-article,,
8,478147523,2015.0,,LEPTOSPIRA IMMUNOPROTECTIVE PROTEINS AND METHODS OF IDENTIFICATION AND USE THEREOF,7.0
9,478255375,2013.0,,LIQUID TREATMENT DEVICE,16.0
10,478255375,2014.0,,DEVICE AND METHOD FOR TREATING A LIQUID CONTAINING AN ORGANIC POLLUTANT,7.0
11,478366511,,,,
12,478543358,2021.0,book-chapter,,
13,478543358,2017.0,journal-article,,
14,478543358,2017.0,proceedings-article,,
15,478543358,2015.0,proceedings-article,,
16,478543358,2014.0,proceedings-article,,
17,478543358,2017.0,book-chapter,,
18,478543358,2017.0,book-chapter,,
19,478543358,2016.0,book-chapter,,
20,478543358,2015.0,report,,
21,478543358,2017.0,proceedings-article,,
22,478543358,2017.0,proceedings-article,,
23,478543358,2017.0,report,,
24,478543358,2017.0,report,,
25,478543358,2018.0,other,,
26,478543358,2014.0,proceedings-article,,
27,478543358,2017.0,other,,
28,478543358,2017.0,other,,
29,478543358,2016.0,other,,
30,478543358,2016.0,proceedings-article,,
31,478543358,2017.0,poster,,
32,478543358,2019.0,book-chapter,,
33,478543358,2018.0,report,,
34,478543358,2017.0,journal-article,,
35,478543358,2018.0,book-chapter,,
36,478543358,2017.0,report,,
37,478543358,2018.0,journal-article,,
38,478543358,2013.0,journal-article,,
39,478543358,2019.0,journal-article,,
40,478543358,2018.0,book-chapter,,
41,478543358,2019.0,book-chapter,,
42,478543358,2018.0,journal-article,,
43,478543358,2019.0,journal-article,,
44,478543358,2018.0,journal-article,,
45,478543358,2019.0,poster,,
46,478543358,2019.0,book-chapter,,
47,478543358,2017.0,poster,,
48,478543358,2020.0,journal-article,,
49,478543358,2020.0,journal-article,,
50,478543358,2020.0,journal-article,,
51,478543358,2020.0,book-chapter,,
52,478543358,2020.0,other,,
53,478543358,2021.0,other,,
54,478543358,2017.0,proceedings-article,,
55,478543358,2020.0,proceedings-article,,
56,478543358,2020.0,journal-article,,
57,478543358,2021.0,book-chapter,,
58,478543358,2021.0,book-chapter,,
59,478757966,2017.0,,PROCEDE ET DISPOSITIF DE TRAITEMENT D'ELEMENTS SONORES,1.0
60,479135535,,,,
61,479162695,2010.0,,HYBRID COMPRESSOR FOR AN AIR-CONDITIONING CIRCUIT,5.0
62,479162695,2010.0,,METHOD FOR MANAGING A HYBRID COMPRESSOR OF AN AIR-CONDITIONING CIRCUIT,5.0
63,479162695,2010.0,,METHOD FOR DETERMINING THE POWER OF AN ELECTRIC MOTOR OF A HYBRID COMPRESSOR,5.0
64,479162695,2010.0,,METHOD FOR CONTROLLING A VALVE ACTUATOR AND CORRESPONDING CONTROL DEVICE,2.0
65,479162695,2010.0,,ELECTRONIC COMPUTER FOR A MOTOR VEHICLE,2.0
66,479162695,2010.0,,"Device for disconnecting intake valve of internal combustion engine, has rod with spring provided on actuating element, where locking units of rod are actuated by electromagnetic actuator relative to support and locking units include pins",1.0
67,479162695,2010.0,,"DEVICE FOR THE SELF-GENERATION OF A VOLTAGE SURGE AND THE SIMULTANEOUS CONTROL OF AN ACTUATOR COMPRISING ONE OR MORE INDUCTORS, AND METHOD FOR CONTROLLING SUCH A DEVICE",3.0
68,479162695,2010.0,,ELECTRONIC CIRCUIT COMPRISING ELECTRICAL CONNECTIONS RESISTANT TO A SEVERE ENVIRONMENT,8.0
69,479162695,2010.0,,"COMPACT ACTUATORS THAT CAN BE USED, FOR EXAMPLE, IN A MOTOR VEHICLE",2.0
