,siren,year,type,title,n_patents
0,487967564,,,,
1,488092396,,,,
2,488841602,,,,
3,489006015,,,,
4,489217356,,,,
5,489529826,2010.0,,"Dry toilet, has directing unit directing flow of suitable air in superimposed stages to evaporate liquid waste contained in each stage, and chamber equipped with device to separate liquid waste from solid waste supplied from seat block",1.0
6,489529826,2011.0,,DRY TOILETS AND METHOD FOR TREATING WASTE FROM SUCH TOILETS,2.0
7,489847020,,,,
8,489972927,2010.0,,"Method for monitoring utilization of e.g. movable object, involves generating and transmitting detection message of change of movable or immovable states of movable object on communicated network",1.0
9,490396405,,,,
10,490607124,,,,
11,490714383,2018.0,,PLATE AND SLAB INTENDED FOR CREATING A FLOOR OR A WALL AND METHODS FOR PRODUCING A PLATE AND A SLAB OF THIS KIND,2.0
12,491080727,2010.0,,"Observation system for aircraft, has electronic control signal transmission unit transmitting position changing control signals of remote device of interface case and control signals of image capturing device",1.0
13,491081246,2012.0,,"Protective composition for protecting metallic support in building from bad weather, has product to form coating in form of liquid or paste e.g. water repellent solution, on support and fire retardant i.e. mineral retardant",1.0
14,491081246,2012.0,,Protective composition,3.0
15,491134292,2013.0,,DISPOSITIF DE LIAISON BALANCIER-POTENCE DE REMONTEE MECANIQUE CABLEE,1.0
16,491134292,2013.0,,VEHICULES DE REMONTEE MECANIQUE CABLEE,1.0
17,491134292,2013.0,,IDENTIFICATION TAG,2.0
18,491134292,2014.0,,CABLE TRANSPORT EQUIPMENT,2.0
19,491134292,2013.0,,A management and for identification of parts and a mechanical lift installation elements and management method,2.0
20,491148714,,,,
21,491325528,,,,
22,491352779,2013.0,,METHOD FOR DETERMINING THE CELL AGGRESSIVENESS GRADE OF CANCER CELLS OR OF CANCER STEM CELLS,4.0
23,491352779,2014.0,journal-article,,
24,491352779,2015.0,proceedings-article,,
25,491352779,2015.0,journal-article,,
26,491352779,2016.0,journal-article,,
27,491352779,2017.0,proceedings-article,,
28,491352779,2017.0,proceedings-article,,
29,491352779,2016.0,proceedings-article,,
30,491352779,2016.0,proceedings-article,,
31,491352779,2014.0,journal-article,,
32,491352779,2019.0,journal-article,,
33,491352779,2013.0,proceedings-article,,
34,491352779,2015.0,proceedings-article,,
35,491352779,2014.0,proceedings-article,,
36,491352779,2015.0,proceedings-article,,
37,491352779,2014.0,patent,,
38,491352779,2013.0,proceedings-article,,
39,491352779,2013.0,proceedings-article,,
40,491352779,2013.0,proceedings-article,,
