,siren,year,type,title,n_patents
0,414923482,,,,
1,440208411,,,,
2,440233864,2011.0,,"Power or control device for e.g. agricultural vehicle, has adjusting unit that is provided for adjusting intensity of current applied at terminals of reel with respect to electrical current applied at terminals of position maintaining units",1.0
3,440233864,2011.0,,PRESSURE REGULATING DEVICE WITH DETECTION OF THE NEUTRAL POSITION,6.0
4,440233864,2011.0,,Return to neutral by double springs,2.0
5,418145140,,,,
6,440451540,,,,
7,418890406,,,,
8,453901159,,,,
9,458503828,2014.0,,SYSTEM FOR CARRYING OUT OPERATIONS LINKED TO THE USE OF CELLS OF A FACILITY FOR PRODUCING ALUMINIUM BY MEANS OF ELECTROLYSIS,8.0
10,458503828,2014.0,,"VEHICLE FOR OPERATING CELLS OF AN ALUMINIUM PRODUCTION FACILITY, AND CORRESPONDING FACILITY AND METHOD",2.0
11,458503828,2015.0,,FACILITY FOR PRODUCING ALUMINIUM BY MEANS OF IGNEOUS ELECTROLYSIS,2.0
12,458503828,2015.0,,METHOD FOR DETACHING A SPENT ANODE ASSEMBLY FROM A VESSEL OF AN ALUMINUM PRODUCTION PLANT,2.0
13,458503828,2015.0,,MODULE DE SERVICE POUR L'EXPLOITATION D'UNE INSTALLATION DE PRODUCTION D'ALUMINIUM,1.0
14,458503828,2015.0,,MODULE DE SERVICE POUR L EXPLOITATION D UNE INSTALLATION DE PRODUCTION D ALUMINIUM PAR ELECTROLYSE IGNEE,1.0
15,458503828,2015.0,,DEVICE FOR HANDLING A DEVICE BELONGING TO AN ELECTROLYTIC CELL,1.0
16,458503828,2015.0,,"UNIT FOR OPERATING AN ALUMINUM PRODUCTION PLANT, ALUMINUM PRODUCTION PLANT, AND METHOD FOR OPERATING A PLANT OF SAID TYPE",1.0
17,458503828,2010.0,,"HANDLING TOOL, FOR SECURE HANDLING OF CONNECTORS OF ELECTROLYSIS CELLS INTENDED FOR ALUMINIUM PRODUCTION",8.0
18,458503828,2010.0,,SHORT-CIRCUITING-SHIM-EXTRACTING DEVICE FOR SWITCHING ON AN ELECTROLYTIC CELL FOR PRODUCING ALUMINUM,10.0
19,458503828,2011.0,,COMPACT SERVICE MODULE AND USE THEREOF IN A PLANT FOR PRODUCING ALUMINUM BY ELECTROLYSIS,13.0
20,458503828,2013.0,,CARRIAGE AND MACHINE FOR OPERATING A FURNACE IN AN ANODE-FIRING FACILITY,7.0
21,458503828,2015.0,,UNIT FOR OPERATING AN ALUMINUM PRODUCTION PLANT,2.0
22,458503828,2017.0,,"PROCESS FOR INSTALLING AN ANODE COVER IN AN ELECTROLYTIC CELL, SERVICE MACHINE CAPABLE OF IMPLEMENTING SUCH A PROCESS AND COMPUTER PROGRAM PRODUCT FOR THE IMPLEMENTATION OF SUCH A PROCESS",6.0
23,458503828,2018.0,,"SYSTEM FOR CHARACTERISING A GEOMETRY OF A SUSPENDED LOAD, METHOD USING SUCH A SYSTEM AND FACILITY FOR PRODUCING ALUMINIUM BY ELECTROLYSIS COMPRISING SUCH A SYSTEM",3.0
24,477670707,,,,
25,419510128,,,,
26,478404601,,,,
27,478496144,,,,
28,478725278,2011.0,,"Power unit for use in electric car, has driving gears constantly gearing with driven gears, where each pair of driven and driving gears defines gear ratio such that each input shaft includes multiple gear ratios than driving gears",1.0
29,478843402,,,,
30,478966732,,,,
31,479259863,2010.0,,Device for guiding articles at the entry of a rotary carrousel,2.0
32,479259863,2010.0,,Security device intended for detecting an incorrect position of an item at the entrance to a carrousel.,2.0
33,479264921,,,,
34,479520074,,,,
35,480160688,2012.0,,System for locking a blade in extended position for a retractable knife,3.0
36,480160688,2015.0,,DISPOSITIF COUPE FIL DE FER,1.0
37,480425131,,,,
38,480604081,,,,
39,480736214,2011.0,,"Electronic lock for safe utilized for selling e.g. goods, has keyboard actuated by operator, and smart card connected to reader by utilizing modem that is in communication with central server",1.0
40,480736214,2010.0,,"Money-operated machine, has money box housed in strongbox formed of metal sheets nested within one another by serrations, and attached to extruded profile by cut-out serrations being inserted into grooves/notches of profile acting as guides",1.0
41,480736214,2013.0,,VALIDEUR DE COVOITURAGE ET RESERVATION DYNAMIQUE,1.0
42,480736214,2014.0,,"SYSTEME DE GESTION DU STATIONNEMENT DE VEHICULES, CORRELANT DANS LE TEMPS LA DETECTION D'UN VEHICULE ET LE PAIEMENT DU DROIT A STATIONNER",2.0
43,480736214,2014.0,,AUTOMATE A MONNAIE AYANT UN MOYEN RECHARGEABLE EN ENERGIE DISPOSE DANS LE BOITIER A MONNAIE,1.0
44,480736214,2014.0,,DETECTION TERMINAL INCLUDING A PIEZOELECTRIC TRANSDUCER SECURED TO A DIAPHRAGM CONNECTED TO AN ABUTMENT STRUCTURE,5.0
