,siren,year,type,title,n_patents
0,495245730,2015.0,,METHOD FOR PRODUCING A LIGHTING DEVICE AND RESULTING DEVICE,7.0
1,495245730,2017.0,,DETECTING SYSTEM ABLE TO GENERATE AN ELECTRICAL SIGNAL THAT IS REPRESENTATIVE OF A VARIATION IN LIGHT INTENSITY AND PRESSURE SENSOR INCORPORATING SUCH A DETECTING SYSTEM,5.0
2,495245730,2016.0,,PANEL FOR PHOTOBIOREACTOR AND METHOD FOR MANUFACTURING SAME,7.0
3,514692045,2011.0,,"Method for cogenerating electric energy and heat energy using regenerative organic Rankine cycle, involves utilizing working liquid portion between production unit and condenser to preheat liquid before its communication with coolant",1.0
4,514692045,2015.0,,"DEVICE FOR THERMAL INSULATION BETWEEN A TURBINE OF WHICH THE WHEEL IS ROTATED BY A HOT FLUID AND AN ELECTRICITY GENERATOR WITH A ROTOR COUPLED TO SAID WHEEL, IN PARTICULAR FOR A TURBINE GENERATOR",6.0
5,514692045,2016.0,,CLOSED CIRCUIT FUNCTIONING ACCORDING TO A RANKINE CYCLE WITH A DEVICE FOR THE EMERGENCY STOPPING OF THE CIRCUIT AND METHOD USING SUCH A CIRCUIT,8.0
6,514692045,2017.0,,"TURBOPUMP ASSEMBLY FOR A CLOSED CIRCUIT, PARTICULARLY OF THE RANKINE CYCLE TYPE, ASSOCIATED WITH AN INTERNAL COMBUSTION ENGINE, IN PARTICULAR FOR A MOTOR VEHICLE",6.0
7,514692045,2017.0,,"KINETIC TURBOPUMP WITH SPEED-VARYING DEVICE FOR A CLOSED CIRCUIT, PARTICULARLY OF THE RANKINE CYCLE TYPE, NOTABLY FOR A MOTOR VEHICLE",3.0
8,514692045,2015.0,,DEVICE FOR LUBRICATING A BEARING ACCEPTING A ROTARY SHAFT OF AN ELEMENT OF A CLOSED CIRCUIT OPERATING ON A RANKINE CYCLE AND METHOD USING SUCH A DEVICE,6.0
9,514692045,2016.0,,METHOD FOR DETECTING AND EXTRACTING GASEOUS FLUID CONTAINED IN A CLOSED CIRCUIT FUNCTIONING ACCORDING TO A RANKINE CYCLE AND DEVICE USING SUCH A METHOD,8.0
10,514692045,2017.0,,"TURBOPUMP FOR A FLUID CIRCUIT, PARTICULARLY FOR A CLOSED CIRCUIT PARTICULARLY OF THE RANKINE CYCLE TYPE",6.0
11,514692045,2017.0,,"ELECTRICALLY POWERED TURBOPUMP ASSEMBLY FOR A CLOSED CIRCUIT, PARTICULARLY OF THE RANKINE CYCLE TYPE, COMPRISING INTEGRATED COOLING",2.0
12,514958214,2010.0,,"Hollow and thin mold for mechanical protection of e.g. toes, of person against formation of inflammation, has outer surface comprising texture simulating aspect of human skin except at level of end of toes",1.0
13,515082824,,,,
